Quantity,Designators,Package,Value,MPN,Manufacturer
18,"C1, C4, C6, C7, C8, C9, C10, C11, C44, C45, C46, C47, C48, C50, C51, C52, C53, C54",CAPC2012 (0805),0.1μF,CL21B104KBCNNNC,Samsung Electro-Mechanics
3,"C2, C3, C12",CAPC2012 (0805),22pF,C0805C220J5GAC7800,KEMET
2,"C5, C35",CAPC2012 (0805),1μF,CL21B105KBFNNNG,Samsung Electro-Mechanics
1,C16,CAPPRD500W80D1250H1400,330μF,URZ1H331MHD,Nichicon
2,"C17, C20",CAPPRD500W80D1250H1400,220μF,URS1J221MHD1TO,Nichicon
1,C18,CAPC3216 (1206),0.1μF,CL31B104KEHSFNE,Samsung Electro-Mechanics
1,C24,CAPC2012 (0805),0.1μF,CL31B104KEHSFNE,Samsung Electro-Mechanics
1,C26,CAPPRD200W50D500H700,47μF,860020572006,Würth Elektronik
2,"C29, C30",CAPC2012 (0805),1μF,CGA4J3X7S2A105M125AE,
1,C33,CAPC2012 (0805),2.2μF,CL21B225KAFNFNE,Samsung Electro-Mechanics
1,C34,CAPC2012 (0805),100pF,CL21C101JCANNNC,Samsung Electro-Mechanics
1,C38,CAPC3225 (1210),1μF,CL32B105KCJNNNE,Samsung Electro-Mechanics
1,C43,CAPPRD200W50D500H700,22μF,ECE-A1EKA220,Panasonic Electronic Components
1,C49,CAPC2012 (0805),1μF,CL21B105KBFNNNG,
1,C56,CAPPRD250W50D630H1100,22μF,ESK226M100AE3AA,KEMET
2,"D1, D2",SOT23-3P95_230X110L50X40,,BAS21,SMC Diode Solutions
1,F1,CAPC4532 (1812),,MF-MSMF050-2,Bourns Inc.
1,J1,Microfit_3mm_TH_RA_2x5,,43045-1000,Molex
1,J2,SS-52300-001,,SS-52300-001,Stewart Connector
1,J3,Microfit_3mm_TH_RA_1x2,,43650-0200,
1,J4,Microfit_3mm_TH_RA_1x3,,43650-0300,
1,J5,Microfit_3mm_TH_RA_1x4,,43650-0400,
1,J6,Microfit_3mm_TH_RA_2x2,,43045-0400,Molex
1,J7,Microfit_3mm_TH_RA_2x1,,43045-0200,
1,J8,Microfit_3mm_TH_RA_2x3,,43045-0600,Molex
2,"J9, J10",Pin Header 2.54mm 2x03 ⌀1.0mm,,M20-9980346,Harwin
1,J11,Pin Header 2.54mm 1x06 ⌀1.0mm,,61300611121,Würth Elektronik
1,J12,Picoblade_vert_TH_1x4_530470410,,530470410,Molex
1,L1,INDC2012 (0805),,MH2029-300Y,Bourns Inc.
1,L3,INDC2012 (0805),10μH,MLZ2012N100LT000,TDK Corporation
2,"L6, L7",INDC3225 (1210),0mH,RC1210JR-070RL,YAGEO
4,"L8, L9, L10, L11",INDC2012 (0805),0mH,RC0805FR-070RL,YAGEO
5,"LED1, LED2, LED3, LED4, LED5",LED_0603,,LTST-C191KGKT,Lite-On Inc.
3,"Q2, Q3, Q4",SOT223-4P230_700X180L175X75T175X300,,DMP6023LE-13,Diodes Incorporated
3,"Q5, Q6, Q7",SOT23-3P95_230X110L50X40,,DMN63D8L-7,
6,"R1, R8, R12, R18, R19, R20",RESC2012 (0805),10kΩ,RC0805FR-1310KL,YAGEO
5,"R2, R3, R13, R32, R33",RESC2012 (0805),300Ω,RC0805FR-13300RL,YAGEO
3,"R4, R5, R6",RESC2012 (0805),1kΩ,RC0805FR-131KL,YAGEO
2,"R7, R14",RESC2012 (0805),1MΩ,RC0805FR-131ML,YAGEO
4,"R9, R10, R22, R23",RESC2012 (0805),22Ω,RC0805FR-1322RL,YAGEO
1,R15,RESC3216 (1206),583Ω,RN73H2BTTD5830F100,"KOA Speer Electronics, Inc."
1,R25,RESC2012 (0805),15kΩ,RC0805FR-1315KL,YAGEO
5,"R26, R28, R29, R30, R31",RESC2012 (0805),0Ω,RC0805FR-070RL,YAGEO
2,"R34, R35",RESC3225 (1210),0.001Ω,PMR25HZPFV1L00,Rohm
1,S1,6mm_tact_switch_TE,,1825910-6,TE Connectivity ALCOSWITCH Switches
1,U1,TQFP50P1600X1600X100-100,,ATMEGA2560-16AU-ND,Microchip
1,U2,SO8_390_1,,THDV1450DR,THVD1450DR
1,U3,SOT23-5P95_280X145L60X40,5V,AP2210K-5.0TRG1,
1,U4,RSDW60,,RSDW60G-24,MEAN WELL USA Inc.
1,U5,i7C4W,,I7C4W012A050V-003-R,TDK-Lambda
1,U6,TSSOP16P65_500X640X120L100X30,,SP3232EBEY-L/TR,
1,U7,TSR 0.6WI,,TSR 0.6-48120WI,Traco Power
1,U8,TQFP80P900X900X100-32,,ATMEGA16U2-AU,Microchip Technology
2,"U9, U10",SOT23-6P95_280X145L60X40,,TXU0101DBVR,Texas Instruments
1,X1,HC49_SMT,,J49SMH-C-G-G-K-16M0,Jauch Quartz
1,Y2,CSTCE16M0V53-R0,16MHz,CSTCE16M0V53-R0,Murata Electronics
2,"Z1, Z2",CAPC1608 (0603),,CG0603MLC-05E,Bourns Inc.
