# Pick&Place Position Data File
#
# Project Name:        100818
# Project Version:     v1.0.1
# Board Name:          100817
# Generation Software: LibrePCB 1.1.0
# Generation Date:     2024-09-10T10:23:42
# Unit:                mm
# Rotation:            Degrees CCW
# Board Side:          Bottom
# Assembly Types:      THT, SMT, THT+SMT, Fiducial, Other

Designator,Value,Device,Package,Position X,Position Y,Rotation,Side,Type
C5,CL21B105KBFNNNG,Capacitor 2012 (0805),CAPC2012 (0805),19.1516,12.5984,180.0,Bottom,SMT
C6,CL21B104KBCNNNC,Capacitor 2012 (0805),CAPC2012 (0805),21.844,14.732,0.0,Bottom,SMT
C8,CL21B104KBCNNNC,Capacitor 2012 (0805),CAPC2012 (0805),38.227,35.306,270.0,Bottom,SMT
C9,CL21B104KBCNNNC,Capacitor 2012 (0805),CAPC2012 (0805),46.5074,44.7548,90.0,Bottom,SMT
C10,CL21B104KBCNNNC,Capacitor 2012 (0805),CAPC2012 (0805),50.546,32.766,0.0,Bottom,SMT
C18,CL31B104KEHSFNE,Capacitor 3216 (1206),CAPC3216 (1206),125.7554,34.4932,90.0,Bottom,SMT
C24,CL31B104KEHSFNE,Capacitor 2012 (0805),CAPC2012 (0805),81.915,48.26,0.0,Bottom,SMT
C29,CGA4J3X7S2A105M125AE,Capacitor 2012 (0805),CAPC2012 (0805),80.137,8.001,0.0,Bottom,SMT
C30,CGA4J3X7S2A105M125AE,Capacitor 2012 (0805),CAPC2012 (0805),80.137,5.588,0.0,Bottom,SMT
C33,CL21B225KAFNFNE,Capacitor 2012 (0805),CAPC2012 (0805),72.4154,12.939888,270.0,Bottom,SMT
C34,CL21C101JCANNNC,Capacitor 2012 (0805),CAPC2012 (0805),74.9554,11.669888,0.0,Bottom,SMT
C35,CL21B105KBFNNNG,Capacitor 2012 (0805),CAPC2012 (0805),71.7804,18.019888,90.0,Bottom,SMT
C44,CL21B104KBCNNNC,Capacitor 2012 (0805),CAPC2012 (0805),158.530636,36.83,270.0,Bottom,SMT
C45,CL21B104KBCNNNC,Capacitor 2012 (0805),CAPC2012 (0805),158.530636,33.655,270.0,Bottom,SMT
