# Pick&Place Position Data File
#
# Project Name:        100818
# Project Version:     v1.0.1
# Board Name:          100817
# Generation Software: LibrePCB 1.1.0
# Generation Date:     2024-09-10T10:23:42
# Unit:                mm
# Rotation:            Degrees CCW
# Board Side:          Top
# Assembly Types:      THT, SMT, THT+SMT, Fiducial, Other

Designator,Value,Device,Package,Position X,Position Y,Rotation,Side,Type
C1,CL21B104KBCNNNC,Capacitor 2012 (0805),CAPC2012 (0805),20.5486,27.559,0.0,Top,SMT
C2,C0805C220J5GAC7800,Capacitor 2012 (0805),CAPC2012 (0805),23.3426,25.1206,180.0,Top,SMT
C3,C0805C220J5GAC7800,Capacitor 2012 (0805),CAPC2012 (0805),16.8402,25.1968,0.0,Top,SMT
C4,CL21B104KBCNNNC,Capacitor 2012 (0805),CAPC2012 (0805),30.1244,20.193,180.0,Top,SMT
C7,CL21B104KBCNNNC,Capacitor 2012 (0805),CAPC2012 (0805),37.592,44.323,0.0,Top,SMT
C11,CL21B104KBCNNNC,Capacitor 2012 (0805),CAPC2012 (0805),40.6146,47.0916,0.0,Top,SMT
C12,C0805C220J5GAC7800,Capacitor 2012 (0805),CAPC2012 (0805),26.162,27.94,180.0,Top,SMT
C16,URZ1H331MHD,Capacitor Radial ⌀12.5x14/5.0mm,CAPPRD500W80D1250H1400,99.8982,9.7028,0.0,Top,THT
C17,URS1J221MHD1TO,Capacitor Radial ⌀12.5x14/5.0mm,CAPPRD500W80D1250H1400,156.21,11.0236,0.0,Top,THT
C20,URS1J221MHD1TO,Capacitor Radial ⌀12.5x14/5.0mm,CAPPRD500W80D1250H1400,156.4386,26.7716,0.0,Top,THT
C26,860020572006,Capacitor Radial ⌀5.0x7.0/2.0mm,CAPPRD200W50D500H700,59.182,47.0916,90.0,Top,THT
C38,CL32B105KCJNNNE,Capacitor 3225 (1210),CAPC3225 (1210),54.737,18.288,0.0,Top,SMT
C43,ECE-A1EKA220,Capacitor Radial ⌀5.0x7.0/2.0mm,CAPPRD200W50D500H700,46.482,14.478,90.0,Top,THT
C49,CL21B105KBFNNNG,Capacitor 2012 (0805),CAPC2012 (0805),31.75,39.37,0.0,Top,SMT
C56,ESK226M100AE3AA,Capacitor Radial ⌀6.3x11.0/2.5mm,CAPPRD250W50D630H1100,128.143,39.243,90.0,Top,THT
D2,BAS21,BAS21,SOT23-3P95_230X110L50X40,20.32,30.48,180.0,Top,SMT
F1,MF-MSMF050-2,Polyfuse_1812,CAPC4532 (1812),27.305,17.018,180.0,Top,SMT
J1,43045-1000,Microfit_3mm_TH_RA_2x5_43045-1000,Microfit_3mm_TH_RA_2x5,168.91,16.51,90.0,Top,THT
J2,SS-52300-001,SS-52300-001,SS-52300-001,37.084,13.97,0.0,Top,THT
J3,43650-0200,Microfit_3mm_TH_RA_1x2_43650-0200,Microfit_3mm_TH_RA_1x2,8.89,5.08,270.0,Top,THT
J4,43650-0300,Microfit_3mm_TH_RA_1x3_43650-0300,Microfit_3mm_TH_RA_1x3,8.89,17.145,270.0,Top,THT
J5,43650-0400,Microfit_3mm_TH_RA_1x4_43650-0400,Microfit_3mm_TH_RA_1x4,8.89,42.545,270.0,Top,THT
J6,43045-0400,Microfit_3mm_TH_RA_2x2_43045-0400,Microfit_3mm_TH_RA_2x2,8.89,29.21,270.0,Top,THT
J7,43045-0200,Microfit_3mm_TH_RA_2x1_43045-0200,Microfit_3mm_TH_RA_2x1,168.91,43.18,90.0,Top,THT
J8,43045-0600,Microfit_3mm_TH_RA_2x3_43045-0600,Microfit_3mm_TH_RA_2x3,168.91,32.639,90.0,Top,THT
J9,M20-9980346,Generic Pin Header 2.54mm 2x03 ⌀1.0mm,Pin Header 2.54mm 2x03 ⌀1.0mm,26.416,5.08,0.0,Top,THT
J10,M20-9980346,Generic Pin Header 2.54mm 2x03 ⌀1.0mm,Pin Header 2.54mm 2x03 ⌀1.0mm,31.496,29.972,0.0,Top,THT
